date,time,Diamete,mmDepth
1,2023-12-03-09:58:04,3137,16011
2,2023-12-03-09:58:08,3096,16011
3,2023-12-03-09:58:13,3092,16011
4,2023-12-03-09:58:19,3105,16011
5,2023-12-03-09:58:23,3061,16011
6,2023-12-03-09:58:28,3141,16011
7,2023-12-03-09:58:34,3185,16011
8,2023-12-03-09:58:38,3111,16011
9,2023-12-03-09:58:43,3103,16011
10,2023-12-03-09:58:49,3092,16011
11,2023-12-03-09:58:53,3079,16011
12,2023-12-03-09:58:58,3197,16011
13,2023-12-03-10:02:07,3107,15001
14,2023-12-03-10:02:11,3071,15001
15,2023-12-03-10:02:16,3093,15001
16,2023-12-03-10:02:22,3072,15001
17,2023-12-03-10:02:27,3139,15001
18,2023-12-03-10:02:31,3202,15001
19,2023-12-03-10:02:37,3117,15001
20,2023-12-03-10:02:42,3089,15001
21,2023-12-03-10:02:46,3071,15001
22,2023-12-03-10:02:52,3079,15001
23,2023-12-03-10:02:57,3217,15001
24,2023-12-03-10:03:01,3097,15001
25,2023-12-03-10:05:23,3156,13990
26,2023-12-03-10:05:29,3170,13990
27,2023-12-03-10:05:33,3098,13990
28,2023-12-03-10:05:38,3083,13990
29,2023-12-03-10:05:44,3051,13990
30,2023-12-03-10:05:48,3142,13990
31,2023-12-03-10:05:53,3182,13990
32,2023-12-03-10:05:59,3048,13990
33,2023-12-03-10:06:03,3076,13990
34,2023-12-03-10:06:08,3036,13990
35,2023-12-03-10:06:14,3076,13990
36,2023-12-03-10:06:19,3161,13990
37,2023-12-03-10:08:10,3158,12995
38,2023-12-03-10:08:16,3077,12995
39,2023-12-03-10:08:21,3065,12995
40,2023-12-03-10:08:25,3048,12995
41,2023-12-03-10:08:31,3163,12995
42,2023-12-03-10:08:36,3185,12995
43,2023-12-03-10:08:40,3078,12994
44,2023-12-03-10:08:46,3023,12995
45,2023-12-03-10:08:51,3017,12995
46,2023-12-03-10:08:55,3069,12995
47,2023-12-03-10:09:01,3182,12995
48,2023-12-03-10:09:06,3131,12995
49,2023-12-03-10:10:54,3066,12018
50,2023-12-03-10:10:58,3043,12018
51,2023-12-03-10:11:04,3025,12018
52,2023-12-03-10:11:08,3066,12018
53,2023-12-03-10:11:13,3149,12018
54,2023-12-03-10:11:19,3126,12018
55,2023-12-03-10:11:23,3089,12018
56,2023-12-03-10:11:28,3079,12018
57,2023-12-03-10:11:34,3020,12018
58,2023-12-03-10:11:38,3093,12018
59,2023-12-03-10:11:43,3147,12018
60,2023-12-03-10:11:49,3069,12018